,name,url
0,Alcazar of Seville (Seville Province),https://www.spainthisway.com/places/seville-alcazar.php
1,Alhambra Palace (Granada Province),https://www.spainthisway.com/places/alhambra.php
2,Almeria,https://www.spainthisway.com/places/almeria.php
3,Almodovar del Rio (Cordoba Province),https://www.spainthisway.com/places/almodovar-del-rio.php
4,Arcos de la Frontera (Cadiz Province),https://www.spainthisway.com/places/arcos-de-la-frontera.php
5,Baeza (Jaen Province),https://www.spainthisway.com/places/baeza.php
6,Cadiz,https://www.spainthisway.com/places/cadiz.php
7,Carmona (Seville Province),https://www.spainthisway.com/places/carmona.php
8,Casa de Pilatos (Seville Province),https://www.spainthisway.com/places/seville-casa-de-pilatos.php
9,Casares (Malaga Province),https://www.spainthisway.com/places/casares.php
10,Cordoba,https://www.spainthisway.com/places/cordoba.php
11,El Rocio (Huelva Province),https://www.spainthisway.com/places/el-rocio.php
12,Granada (Granada Province),https://www.spainthisway.com/places/granada.php
13,Guadix (Granada Province),https://www.spainthisway.com/places/guadix.php
14,Italica (Seville Province),https://www.spainthisway.com/places/italica.php
15,Jerez de la Frontera (Cadiz Province),https://www.spainthisway.com/places/jerez.php
16,Malaga (Malaga Province),https://www.spainthisway.com/places/malaga.php
17,Marbella (Malaga Province),https://www.spainthisway.com/places/marbella.php
18,Metropol Parasol (Seville Province),https://www.spainthisway.com/places/seville-parasol.php
19,Mezquita of Cordoba (Cordoba Province),https://www.spainthisway.com/places/cordoba-mezquita.php
20,Nerja Caves (Malaga Province),https://www.spainthisway.com/places/nerja-caves.php
21,Osuna (Seville Province),https://www.spainthisway.com/places/osuna.php
22,Puerto-Banus (Malaga Province),https://www.spainthisway.com/places/puerto-banus.php
23,Ronda (Malaga Province),https://www.spainthisway.com/places/ronda.php
24,Seville (Seville Province),https://www.spainthisway.com/places/seville.php
25,Seville - Giralda (Seville Province),https://www.spainthisway.com/places/seville-giralda.php
26,Seville - More Places to Visit (Seville Province),https://www.spainthisway.com/places/seville-places-to-visit.php
27,Seville - Plaza de Espana (Seville Province),https://www.spainthisway.com/places/seville-plaza-de-espana.php
28,Seville Bullring (Seville Province),https://www.spainthisway.com/places/seville-bullring.php
29,Seville Cathedral (Seville Province),https://www.spainthisway.com/places/seville-cathedral.php
30,Seville- El Arenal (Seville Province),https://www.spainthisway.com/places/seville-el-arenal.php
31,Seville-Barrio Santa Cruz (Seville Province),https://www.spainthisway.com/places/seville-santa-cruz.php
32,Ubeda (Jaen Province),https://www.spainthisway.com/places/ubeda.php
33,Zuheros (Cordoba Province),https://www.spainthisway.com/places/zuheros.php
