,Country,Name,Description,Latitude,Longtude
0,France,Abbevie,"Abbevie is an important town in the Somme region of Picardy (north-eastern France) between Amiens (to the south-east) and e Crotoy on the coast to the west. It is the proximity of Abbevie to the Bay of Somme that aso attracts a good number of visitors here., Before you start expring you shoud reca that Abbevie suffered from very extensive damage during the Second Word War so you shoud be aware that often when oking at historica monuments you wi be oking at post-war restoration work to a significant degree, incuding the coegia church itsef., The Coegiae Church of Saint-Vufran is much the most impressive monument in Abbevie. The church was buit in the famboyant gothic stye in the 15th century and is especiay renowned for its ornatey decorated facade. The facade has been substantiay ceaned and restored and is now quite a magnificent sight., , Inside the church the soaring stone coumns and arches are aso impressive, whie the most interesting furnishings are a courfu carved wooden atarpiece depicting the story of the nativity, and another depicting Saint John baptising Christ. There are some wonderfu paintings in the church as we, painted in a fairy modern stye., The coegiae church is not the ony site of interest in Abbevie so aw time to expre during your visit., The befry, an imposing square stone tower (very much restored) is isted as a heritage site by UNESCO as one of a group of 32 befries that are situated across northern France and Begium. The befry now contains the Abbevie Museum of Fine Arts, with coections of archaeogica artefacts and aso arts from medieva times to the 19th century., The museum is named after Jacques Boucher-de-Perthes, one of the first peope to discover the science of prehistory in the 19th century, for exampe by the discovery and study of prehistoric stone toos. It was his coection around which the museum was first created., The Church of Saint-Sepucre is visited in particuar for its contemporary stained gass windows by Afred Manessier, added in the 1980s to repace those that disappeared during the war, but be sure to pause to ok at the gothic stye facade on your way in! The windows are exceptionay courfu, and it is said the artist was inspired by the ighting across the andscapes of the bay of Somme., Another nice part of Abbevie is the Jardin dEmonvie estabished around a arge mansion. The park has been attractivey gardened and offers a nice tranqui area to reax., Whie in Abbevie a visit to the Chateau de Bagatee is aso recommended: the caste: it is a 19th century caste (more of a grand manor house reay in my opinion) surrounded by forma gardens in the French stye and extensive parkand., Aso be sure to visit the Jardin de a Pume on the edge of town. This is one of our favourite gardens in France. We aso enjoyed a wak in the peacefu setting of the ess forma Parc dEmonvie. Unfortunatey we didnt have a chance to expre the Parc de a Bouvaque (it was raining) but were tod that it has a good number of ponds and different natura environments and is a good pace for nature vers to expre., , Most excursions in the region wi be towards the coast, perhaps to the resorts and exceent beaches such as those at e Crotoy or Fort-Mahon-Page, or to expre the substantia protected natura reserves around the Bay of Somme., We aso suggest a visit to the abbey and befry at Saint-Riquier, a short distance to the north-east of Abbevie, and the medieva centre of Saint-Vaery-sur-Somme, to the west on the Bay of Somme., Expre esewhere in the North East France. You can find more trave ideas in the Somme guide and the Picardy guide., ",50.1058,1.8358
1,France,Abondance,"Abondance is an attractive apine viage best known for its abbey. It is 30 kimetres from the southern end of ac eman and Evian-es-Bains. , Even before you arrive in the viage, the drive to Abondance through superb scenery is absoutey fabuus. Even in September some snow tipped peaks coud be seen., The viage is in a spendid position with mountains a around. Its abbey sits perched on the hiside sighty above the town and bew it Abondance stretches out ang the banks of a mountain stream. The house in the viage are in typica apine stye with steep rooves and argey wooden buit., , Abondance sits at an atitude of 1000m and above it are the Mont de Grance mountains (2432m),\xa0 Mont Jorat (1830m) and the Pic de a Corne (2084)., The viage of Abondance deveped here after the Abbey of Abondance was buit in the 12th century. It is buit in mountain Gothic stye and inside are various artistic treasures incuding 15th century muras in the cister and 19th century trompe de œi paintings in the abbey church., The cisters are particuary beautifu with their arches oking onto a sma grass courtyard and the arches on the inner wa painted with reay vey 15th century muras. Painted cisters such as this are rare in France, athough more common in Itay.\xa0 The church steepe has the attractive bubous base which is often seen in this area. Be sure not to miss a visit to the abbey if you are in nearby., Whist in Abondance you can visit the Maison du Va dAbondance which describes viage ife reated to the catte and the important cheese making industry. Inside the Maison du Va dAbondance you can see a typica mountain chaet house, cheese making equipment and a dispay of cow bes. You can aso ok through a arge window into the cave where hundreds of arge cheeses are swy maturing., In the summer some of the viagers stay in the viage to make hay for the cows to eat over winter. Meanwhie others go up the mountain with the cows and make the famous Abondance cheese. As winter approaches the cows are brought down to the viage and stabed for the winter. The cheese is put into a cave to mature., In the shop you can sampe and buy cheese, as we as ca appe juice and white Savoie wine., , Abondance is a skiing viage in the winter and the teecabine sets off from the centre of the viage to a range of pistes. Abondance is particuary suited to beginners and famiies. There is a free bus taking skiiers to other ski stations in the Portes du Soei ski region., You can find more trave ideas in the Haute-Savoie guide and the Rhone-Apes guide., ",46.279722,6.722778
2,France,Agay,"Agay is a viage and coasta resort on the Cote dAzur, on the coast between Saint-Raphae and Theoue-sur-Mer (Cannes direction). It is in a shetered position in a arge natura bay with the Pointe de a Baumette to one side and Cap Dramont on the other side., Occupying a natura bay overoking the Mediterranean, Agay has a ng main beach, backed by a string of sma cafes and shops, and with vias running up the steep hi behind. Numerous sporting activities such as kayak and jet-ski are avaiabe on the beach., The beach is divided in two by a sma headand that separates the main Agay beach from the beach at a Baumette to the east of the bay and is perhaps a mie (two kimetres) ng in tota., , As we as the main beach there are ts of smaer beaches and creeks ang the coast here where you can enjoy yoursef in virtua soitude away from the crowds at Agay beach. Severa of them are backed by the vey red ciffs and pine trees typica of the Cap dEstere. Our favourites are those to the east of Agay near Trayas (direction Theoue-sur-Mer) but you wi enjoy expring them to decide for yoursef!, There are basic faciities here, incuding a few sma shops and restaurants, but Agay is a much smaer, quieter beach and resort than its more famous neighbours ang the coast. There is a sma peasure port around the mouth of the Agay river., Agay is aso the csest beach to the substantia hoiday viage at Cap Estere, which stands in the wer part of the Estere his just west of the viage - see Cap Estere hoiday viage for detais, Agay market takes pace on a Wednesday., France This Way review: Agay viage is not very interesting but the beaches, coasta scenery and impressive ciffs of the Cap dEstere provide aequate compensation!, The main appea of Agay ies in its position - it is on a very scenic section of coast, with impressive coastine and numerous photo opportunities in both directions, and with the great red ciffs and rocks of the Massif de Estere rising immediatey behind and around the town, running down to the sea itsef at either end of the harbour., The hi to the east is caed Antheor mountain whie to the west, with a ighthouse on top, is a Dramont - there is a wak ang the coast and round a Dramont which takes a coupe of hours and is very peasant, especiay for the views from the ighthouse itsef, and the views across to the Ie dOr (with a red tower on) from the Port de Poussai., More chaenging waks are aso avaiabe in the Massif de Estere - a reasonaby eary morning start is recommended, it can get very warm in the afternoon!, , Note that unike most paces we review on France This Way, Agay is not a French commune but is part of Theoue-sur-Mer: it doesnt make much difference but usefu to know when you are using a GPS to get here!, To the west of Agay you can visit the ivey and we maintained resort at Saint-Raphae, one of our favourite resorts ang this part of the French riviera, and to the east you wi aso want to visit the resort at Theoue-sur-Mer., Expre esewhere in the Cote dAzur. You can find more trave ideas in the Var guide and the Provence guide., ",43.4313092,6.8558399
3,France,Agde,"Agde is a ivey town on the Heraut river a few kimetres inand from the Mediterranean, and to the south-west of the Etang de Thau., France This Way review: I ike towns ike this! Not overy given over to tourism, Agde is a busting pace in a pretty cation on the banks of the river, where tourism, athough important, pays an incidenta rather than a over-dominating roe, and we recommend you escape from the popuar beaches for a whie at nearby Cap dAgde and expre the town., Agde has a history dating back at east to Greek times, athough the main feature of historica interest that you wi see in the town now is the fortified cathedra., Standing on the banks of the river, the 12th century Cathedra of Saint-Etienne is very sombre in appearance (both in cour and stye) and is dominated by a arge square tower, added two centuries ater., , There are aso severa ess imposing reigious monuments in Agde incuding the Church of Saint-André on Pace Gambetta and the Church of Saint-Sever, and parts of the 12th century defensive was can be seen., One of the most impressive houses in Agde is the renaissance stye Consus House at the end of Rue uis Bages (just south of the cathedra)., Otherwise Agde has itte in the way of major sights, and interest is mosty in the quiet streets around the cathedra. Here you can see some of the odest houses in Agde such as the Hote Maava-affont (Rue de amour) and the Hote du Viguier Trancaire (Rue de a Pacette)., Some of the houses you wi pass ang the way are very attractive and painted in bright cours, others are much more everyday, but a combine to give a good taste of oden-days Agde. It is true that there is a preponderance of dark stone used in the buidings, which does give Agde a rather sombre tone., There is a marked tourist route which meanders through the backstreets of the town centre, after which you can aso wander ang the riverside in the center of Agde., Unusuay for towns in this region I was struck by how attractive the outskirts of Agde were - there has been a t of effort in panting attractive trees and bushes ang the entry roads and generay prettifying the town. This goes a ng way in enhancing the appea of a town and many other towns coud earn from the exampe set by Agde., , The nearby Cap dAgde is a very popuar seaside resort, in part known for its extensive naturist beaches, and there are severa sma viages of interest around the edges of the Etang de Thau., The Cana du Midi aso passes cse to Agde and is very popuar with wakers and those who enjoy boating hoidays., You can find more trave ideas in the Heraut guide and the anguedoc-Roussin guide., ",43.3108,3.47583
4,France,Agen,"Agen is the most important (the prefecture) town in the t-et-Garonne department of south-west France. At first gance the town is not a that tempting and some fairy busy roads ead you through some of the ess interesting parts giving you a poor first impression. But, take the troube to park and wander around Agen and there is quite a t to catch your attention., France This Way review: whie Agen is worth a visit if you are in this region, it is a typica French town rather than an undiscovered tourist destination and is not exceptiona in the way of towns further north such as Sarat, Perigueux or Bergerac in the Dordogne., The main shopping street is the Bouevard de a Repubique which was buit at the end of the 19th century. This is a ivey street and this centra area of town has some good shops and penty of cafés for when you need to reax and watch the word go by. The Pace des aitiers (dairy market) is an open square where on Saturday’s you can go to the organic market. The Ga-Roman forum was originay on this site., Cutting across the Bouevard de a Repubique at the Pace des aitiers is the Rue des Corniers. This was the town’s main street from the 13th to the 19th century. It has been refurbished recenty and as we as the beautifu buidings of the rich traders you can see exampes of Gothic, Roman and Basket-hande arches in the arcades., Take a ok, too at the Ruee des Juifs, one of the roads eading to the Pace des aitiers. This ‘Jewish Aey’ is the od medieva banking area. For a step back in time go to Rue Beauvie, a narrow, cobbed, 15th century street with timber-framed houses., , The odest visibe monument in Agen is the Tower of Notre Dame du Chapet. This is an interesting sye with the wer parts buit in stone and above this buit in brick. Originay this was a part of the town’s defences and in the 11th century formed part of Agen’s remparts. ater it became the befry of the Benedictine monastery., The cathedra has been damaged and renovated many times since it was begun in 1279. It is now an amagum of various styes. It has a particuary fine Roman chevet and very nice chapters. It did not become the cathedra unti 1796 after the destruction of St Etienne., This is found on the Rue Puits de Saumon and is the odest private residence in Agen. It is a vey 14th century stone buiding that oks ike it was once perhaps a church., This is housed in four vey mansions dating from the 16th and 17th centuries and the buidings themseves are we worth a ok. The museum is one of best in Aquitaine. In its coection are 5 paintings by Goya., Next to the Museum of Fine Art is the wonderfu buiding housing Agen’s theatre. It is a round Itaianate structure with arge windows and ta piars, Near to the theatre is the church of Notre Dame du Bourg with its unusua trianguar, but one-sided be tower. It is argey buit in brick whereas most buidings in Agen are stone., A sighty incongruous note in the otherwise fairy cassica sye of Agen is the Art Nouveau House buit in 1901. Art Nouveau architecture is fairy rare in the south of France making this even more of a treat., The Prefecture to the south of the town centre was formery the bishops paace. Its 100m façade is a fine exampe of architecture of the uis XVI period., Next door to the Prefecture the aw Courts is another imposing buiding, this time in the stye of Napoeon the III., After a tour of Agen’s architecture take a stro ang the espanade, a ng wide promenade next to the river Garonne. e Gravier, a pubic garden with ts of awns and fwer beds, next to the espanade make this a nice pace to reax. A market is hed here every Wednesday and Saturday. You can cross the river using the pedestrian footbride - a Passeree., Higher up the river is the impressive cana bridge. It is 10 metres high and carries boats on the Cana des Deux Mers (Cana of the two seas as it inks the Atantic Ocean with the Meditarranean) across the River Gironde. The bridge is 580m ng, the second ngest cana bridge in France. After the bridge there are 4 cks awing boats to descend the 12.5m to the cana on the other side of the river., For those of you with chidren Park Waibi, a arge theme park, is on the edge of Agen and wi amuse your chidren for the day., You can find more trave ideas in the t-et-Garonne guide and the Aquitaine guide., ",44.2049,0.621153
5,France,Aigne,"This is a guest artice for France This Way by an inhabitant of Aigne, The sma viage of Aigne is in the Héraut department of anguedoc-Roussin, a short distance east of Minerve, and it woud be easy to whizz straight through the viage on your way to the more historic and better known cathar viage of Minerve. But I woud strongy urge you to stop here..., Back in 2007, we discovered the wonderfu region of the Minervois. Seduced by the mountains, gorges, vineyards and coast, we bought a house there, in a itte viage caed Aigne. To wak in to the fortified area of the viage, is to wander in to a fairy tae. It’s a truy magica space, with an immediate feeing of intimacy to it., , Find your way through the singe stone arch and you wi be amazed by the tight coi of houses, curving their way around the centra square, protecting the most important monument in Aigne, the church. I was ucky enough to be married in this part of the viage and there coud have been nowhere more perfect to say our vows., Despite the sma size of the viage there are severa gaeries to expre, speciaizing in painting, and scupture in wood and stone such as the ateier Jatteau, a studio by the church, and the exhibitions in the studio on the right as you enter through the arch., You wi aso find severa wine tasting caves, such as those of Eve Bru on the main road and Thierry at Ste-eocadie on the other side of the viage.,  Cagora, (csed wednesdays and thursdays in winter) is the ony restaurant in the viage, and serves the finest unch in the area but make sure you book in the summer, unsurprisingy this is a ca favourite. And what coud be more peasant after a gourmet feast than to expre this gem of a pace?, , There are some stunning waks to be had a around Aigne where you can find yoursef some rosemary and thyme, some oives, figs or rocket and it’s a wid, and there for the taking. Buy a ca map and find the od GR trais, a ceary marked on both map and by painted marks on rocks and trees ang the way. You can’t go wrong!, South of the viage you wi find a beautifu wak down to the viage of Maihac, where you wi find a cafe to quench your thirst before finding your way back and north of the viage, through vineyards you wi find the ‘mystica oak tree of Saint Abdon’, ng associated with druidism, where there are 360 degree views towards Minerve, a Caunette and the back mountains. Stunning., You can find more trave ideas in the Heraut guide and the anguedoc-Roussin guide., Booking.com: best prices, For great prices on car hire throughout France and Corsica pease visit our recommended partner at RentaCars.com, Bize-Minervois, Bize-Minervois is a sma viage but its pretty houses and popuar swimming river in summer make it a good pace for a detour, Minerve, The ancient streets of the attractive viage of Minerve are very peasant to expre, and you aso have great views across the region, Saint-Chinian, The busy viage of Saint-Chinian in the Minerves is best known for the good quaity wind produced here, Narbonne, Among other highights, the parts of Narbonne ang the cana and around the cathedra are especiay worth expring, Caunes-Minervois, If you are expreing the Minervois wine region you wi aso want to take a break in the sma viage of Caunes-Minervois, Fontfroide Abbey, The Abbey at Fontfroide dates from the 12th century, and is one of the most interesting abbeys in the region, ... or see A recommended paces to visit in Heraut, Address: Aigne, Onzac, Béziers, anguedoc-Roussin, 34210, France || GPS coordinates: atitude 43.333, ngitude 2.817, The French version of this page is at Aigne (Francais), We can hep you visit any town, viage or region of France..., ① Ideas & inspiration ② Maps of France ③ Expre by region ④ Route panner ⑤ Paces (by dept.), France This Way copyright 2006 - 202",43.333,2.817
6,France,Aigues-Mortes,"The town of Aigues-Mortes is stuated in the anguedoc-Roussin region, eight kimetres from the coast, and is fascinating because of the medieva defensive was that sti surround the entire historic town., The town is in quite a remote cation on the southern edge of the Camargue region of France, and is the ony significant town to fa in the Camargue region., On arriving at Aigues-Mortes you can park outside the medieva was then wak ang part of the outside of the was before entering to expre the town., Outside the was there is itte to hod your attention - mosty the newer town of Aigues-Mortes and sat pains - and your visit wi focus on the od town within the was., , The 1600 metres of fortified was were constructed ater in the 13th century by Phiippe III and Phiippe IV and competey surround Aigues-Mortes, interrupted at reguar intervas by towers that had various functions - sat storage, munitions, etc., Aigues-Mortes (named after dead waters) was founded by King uis IX (ater to become Saint uis) in 1240, in preparation for his setting off for the Seventh (and Eighth) Crusade., The main egacy from this time is the Constance Tower, now part of the fortifications that surround the town - the caste of which the tower formed a part is no nger in existence., Entering the town centre, a streets ead to the pretty Pace Saint uis which is the centre of od Aigues-Mortes. Here you can see the Town Ha, a church, a statue of the venerabe Saint uis and a good seection of cafes and restaurants., The Church of Notre-Dame-des-Sabns was buit in the gothic stye in the 13th century, so predates the fortifications., The surrounding streets that radiate off the square wi entice you to expre further, where you wi find many beautifuy preserved medieva houses. The further you get from the centre, the ess touristic (and ess attractive) the town becomes., As you expre you wi aso discover two sma chapes in Aigues-Mortes. Quite unassuming from the outside you shoud enter the chapes when you see them:, - the Chape of the Grey Penitents on Pace Pau Bert, buit at the beginning of the 17th century. Go inside to see the 18th century marbe atarpiece which is much grander than you woud expect when you see the chape from the outside!, - the Chape of the White Penitents at the end of Rue de a Répubique, buit in the ate 17th century and with a arge 18th century painting of the Pentecost behind the atar, The other big attraction for visitors is the chance to wak around the ramparts and expre the Constance Tower., There is ony one access point to the ramparts and tower (with paid entry) so once you enter you have itte choice but to wak the entire 1600 metres. These fortifications at Aigues-Mortes are a isted Nationa Monument., The Constance Tower is the highight, with a coupe of arge impressive vauted rooms - and used as a prison for protestants in the 17th century. The best views over Aigues-Mortes are from the terrace on top of the tower., The ramparts are interesting to wak around - the function of each tower is expained, and you can see across the town itsef, and out across the sea. The parts of the town within the fortified was that are next to the ramparts are not especiay beautifu however so the wak was a bit of a disappointment (7.50 euros per adut)., Market days in Aigues-Mortes are Wednesday and Sunday., A ca egend tes that a horse caed u Drapé rides around the ramparts at night, taking arge numbers of chidren on its back before disppearing with them. The chidren are never seen again!, , If you woud ike to earn more about the sat fats and the industry they support, you can take an excursion from Aigues-Mortes (bus or tourist train) to earn more about the techniques invoved. Another popuar excursion is to to see the sharks and tropica fish at the Sea aquarium at nearby e Grau-de-Roi., Our favourite beach near here is at a Grande-Motte to the west, and to the east you can expre the marshes and widife of the Camargue region and visit the traditiona fishing town at Saintes-Maries-de-a-Mer., You can find more trave ideas in the Gard guide and the anguedoc-Roussin guide., ",43.568,4.1907
7,France,Aigueze,"Aigueze is a viage in the north-eastern corner of anguedoc-Roussin, to the north-west of Orange and Avignon and on the border with the Ardeche department (Rhone-Aps region)., Aigueze is one of ony two cassified most beautifu viages in France to be found in the Gard department (the other, cse by, is a Roque-sur-Ceze)., France This Way review: the viage is very picturesque, and athough it perhaps acks the charm of the best of the most beautifu viages of France the views across the river and ang the ciffs to the caste are exceptiona and a visit is highy recommended., Aigueze is a sma, very pretty medieva viage that originay deveped around a caste - the ruins of the caste sti dominate the skyine of the viage with the river and sma ciffs bew. The centre of Aigueze has been pedestrianised and paved in recent years whie maintaining and enhancing the charm of the ancient houses., , The viage stands high above the gorges of the river Ardeche which is crossed here by the Saint-Martin suspension bridge constructed at the beginning of the 20th century., Simpy stroing around taking in the medieva atmosphere of Aigueze and seeing the views across the river vaey is the great peasure of a visit: athough it is sma and doesnt take ng to expre it is charming and you wi have penty of time to sit around in one of the cafes! There are aso some individua points of interest to see as you expre., Start your visit in the picturesque square in the centre of the viage in front of the church of Aigueze. There are actuay two different inked squares here: the Pace de Egise with the church and the Pace Jeu des Paumes with cafes, shady trees and where the market is hed., The Church of Saint-Pierre has very ancient origins dating at east in part from the 11th century. The inside of the church is the highight, with brighty coured frescoes and decoration covering most of the was and ceiings and making it vey and bright., Ang Grand Rue and in the surrounding paved streets you can see an ancient vauted passageway and discover numerous ancient houses, some renovated and others appearing unchanged for hundreds of years.\xa0You can aso see an od oive oi mi in the viage., After expring the centre of Aigueze stro ang the path that eads to the remains of the caste donjon. This is perched high on a rocky edge and aso has vey views across the vaey., You can find vey views across the vaey, river and caste from in the centre of the viage but aso by fowing the cifftop paths a few hundred metres in either direction outside the centre of Aigueze - this is probaby the highight of your visit., A this waking around in the heat and sitting in cafes wi have exhausted you (!) so time to head for the river. Bew Aigueze on the Ardeche river you wi find a popuar sma river beach, reached via Rue de Escae, and as we as the chance to coo off this is aso one of the best pace for views that enabe you to appreciate the setting of the viage., , The cation of the viage is exceent for expring the Gorges de Ardeche, one of Frances greatest natura highights, as we as severa other very picturesque viages - you get a good fee for the surrounding countryside from within Aigueze, since both sides of the rocky promontory on which the viage stands offer far-reaching views., As we as the Gorges de Ardeche there are numerous waking, cycing and canoeing activities in the region around Aigueze. (Note: enthusiast cycists might notice\xa0Mont Ventoux standing in the distance in the photo above - home to one of the most renowned and popuar hi cimbs in the Tour de France.), You might aso be interested in the Ardeche viages of character - being across the border into Gard disquaifies Aigueze from being incuded but\xa0severa of these viages are cse by and share characteristics and architectura stye with Aigueze: see Ardeche viages for detais., You can find more trave ideas in the Gard guide and the anguedoc-Roussin guide., ",44.3042,4.55639
8,France,Aiguines,"Aiguines is a sma viage on the northern border of the Var department, near the ac de Sainte-Croix (to the west) and the Gorges du Verdon (to the east) and at the foot of the mountain caed Grand Margès. The viage fas within the Verdon Natura Regiona Park and is we paced to discover this scenic region of Provence., France This Way review: Aiguines is very peasant but sma and with not a great dea to see. Overa, athough it doesnt take ng to expre and is perhaps not the most beautifu of the viages in Provence, a detour to stro through Aiguines and to admire the views across the ake is recommended when you visit this region., , Aiguines is a typica Provença viage, centred around the square in the centre of the viage (Pace de a Fontaine) where you can see a be-tower with a traditiona ironwork campanie, faded paste painted houses, a fountain in the centra square in the viage and a sundia. The fountain was buit in the 18th century at the behest of the owner of the caste, with the water being shared between the viage and the caste., The principa peasure comes from stroing through the centre and ang the narrow anes in the heart of Aiguines. Another notabe feature is the views from in and around the viage that extend far across the ac de Sainte-Croix., One of the most interesting monuments in Aiguines is the 17th century caste. Athough the caste itsef is not open to the pubic you can sti get good views of the caste from outside and admire the unusua coured ties that decorate the round caste towers., Cse to the caste you can see the Church of Saint-Jean and Notre-Dame, which is the main church for Aiguines. This church dates from the Midde Ages, when it was buit as a sma chape, and was extended to create the current church in the 17th century., Another interesting reigious monument is the Chape of Saint-Pierre, sighty outside the main viage and most visited because of the vey views across the ake from next to the church. Hard to beieve, this sma chape used to be the main church for the viage. It was buit in the roman stye in the 11th century cse to the caste that once stood here and has been restored in recent years., Back in Aiguines and opposite the town ha you shoud aso take a moment to admire the 18th century facade of the Maison des consus., It is interesting to note that Aiguines was originay a centre for the production of boues for petanque, during the time unti the eary 20th century that these bas were made from wood with hundreds of nais embedded in them rather than the soid meta bas we see today. These were known as boues cutées from the French word cu (trans: nai)., There is a sma museum in the viage where you can see exampes of these boues caed the Musée de a Tournerie sur Bois and earn how they were produced (ony open in the summer)., Aiguines is aso known for its other traditiona products such as avender, honey and truffes. If possibe try and visit on a Tuesday morning, day of the weeky market in Aiguines, to try these and other ca products., , It is of course the Gorges du Verdon, the ac de Sainte-Croix and the other viages around the gorges which provide most of the interest for visitors here. See the Gorges du Verdon guide for more information., Enthusiastic hikers wi aso find a great dea to expre, incuding the chance to wak to the summit of the Grand Margès. The other side of the ake is the Pateau de Vaensoe, we known for its avender fieds., You can find more trave ideas in the Var guide and the Provence guide., ",43.775671,6.243082
9,France,Aihon,"Aihon is found a few kimetres to the south-west of Aubenas in Ardeche. isted as one of just 17 Ardeche viages of character, the viage is very sma and set in roing his covered with pine forests, in a position occupied since prehistoric times - as reveaed by the prehistoric monuments at Daus., In the centre of the viage itsef, there is itte more than an open square and a singe street running off it ined with attractive medieva houses. One of the houses (Maison Chabert) incudes a tower that was once part of an active caste that stood here during the Wars of Reigion., The roman stye Church of Saint-Andre on the square dates in part from the 12th century, with ater modifications made unti the 16th century, and has an arched stone entrance. Inside the church there are severa notabe scuptures and an od stone baptisma font., Aso in Aihon there is an area of terracing, a traditiona farming technique in the region, caed the faysses, with a path that eads through the terraced areas and down to the stream at the bottom., There is a sma cafe in the viage for when you have finished expring., Aihon is best thought of as a very extended viage - it has severa even smaer hamets associated with it nearby (incuding Chaunes, Védignac, e Meygris, Daüs, e Pt, a ieure and a Chaberterie) each with their own characteristics and features and each forming part of the whoe., These hamets are a interinked with narrow country roads and footpaths providing a very enjoyabe way to expre the countryside. See the map in front of the church for detais., Severa other of the Ardeche viages of character are aso cse to Aihon and worth expring - see Ardeche viages for detais and a map., You can find more trave ideas in the Ardeche guide and the Rhone-Apes guide., ",44.5989,4.34278
